source,partner,n_observations,n_countries,year_min,year_max,mean_sti,median_sti
comtrade,aus,43,7,2013,2024,0.1329638795233495,0.1392395070302362
comtrade,china,43,7,2013,2024,0.12930944608172404,0.11874979731519505
imf,aus,284,12,2000,2024,0.182682662043985,0.16621316597836217
imf,china,280,12,2000,2024,0.08152292901494211,0.05049805244698673
imf,us,282,12,2000,2024,0.08516702022504774,0.04693614055293195
