country,year,flow,partner,hs2,value_usd
Fiji,2013,export,world,66,6126533.0
Fiji,2013,export,world,67,3215380.0
Fiji,2013,export,world,68,6100971.0
Fiji,2013,export,world,69,22680073.0
Fiji,2013,export,world,71,5199840.0
Fiji,2013,export,world,72,1742517.0
Fiji,2013,export,world,73,254706.0
Fiji,2013,export,world,74,3183663.0
Fiji,2013,export,world,75,1622649.0
Fiji,2013,export,world,76,7737155.0
Fiji,2013,export,world,77,13526315.0
Fiji,2013,export,world,78,3736825.0
Fiji,2013,export,world,79,34368976.0
Fiji,2013,export,world,81,1946385.0
Fiji,2013,export,world,82,1798310.0
Fiji,2013,export,world,83,290665.0
Fiji,2013,export,world,84,59745258.0
Fiji,2013,export,world,85,1514782.0
Fiji,2013,export,world,87,1509097.0
Fiji,2013,export,world,88,959528.0
Fiji,2013,export,world,89,12174124.0
Fiji,2013,export,world,93,13911598.0
Fiji,2013,export,world,96,9061.0
Fiji,2013,export,world,97,45219186.0
Fiji,2013,import,aus,01,7505314.0
Fiji,2013,import,aus,02,5558886.0
Fiji,2013,import,aus,03,444562.0
Fiji,2013,import,aus,04,78555035.0
Fiji,2013,import,aus,05,8694768.0
Fiji,2013,import,aus,06,4797189.0
Fiji,2013,import,aus,07,2888061.0
Fiji,2013,import,aus,08,7210167.0
Fiji,2013,import,aus,09,9016275.0
Fiji,2013,import,aus,11,8466994.0
Fiji,2013,import,aus,12,239878.0
Fiji,2013,import,aus,21,1247.0
Fiji,2013,import,aus,22,98169.0
Fiji,2013,import,aus,23,20666.0
Fiji,2013,import,aus,24,401136.0
Fiji,2013,import,aus,26,3418374.0
Fiji,2013,import,aus,27,267333.0
Fiji,2013,import,aus,28,8232.0
Fiji,2013,import,aus,29,319014.0
Fiji,2013,import,aus,32,7692.0
Fiji,2013,import,aus,33,2551488.0
Fiji,2013,import,aus,34,1132803.0
Fiji,2013,import,aus,41,318.0
Fiji,2013,import,aus,42,4097816.0
Fiji,2013,import,aus,43,17112.0
Fiji,2013,import,aus,51,1509363.0
Fiji,2013,import,aus,52,3064953.0
Fiji,2013,import,aus,53,3826244.0
Fiji,2013,import,aus,54,7629033.0
Fiji,2013,import,aus,55,4736885.0
Fiji,2013,import,aus,56,468887.0
Fiji,2013,import,aus,57,4168581.0
Fiji,2013,import,aus,58,4594760.0
Fiji,2013,import,aus,59,8267486.0
Fiji,2013,import,aus,61,648667.0
Fiji,2013,import,aus,62,4253011.0
Fiji,2013,import,aus,63,737756.0
Fiji,2013,import,aus,64,12096873.0
Fiji,2013,import,aus,65,24714772.0
Fiji,2013,import,aus,66,2400401.0
Fiji,2013,import,aus,67,4022112.0
Fiji,2013,import,aus,68,1281345.0
Fiji,2013,import,aus,69,13303046.0
Fiji,2013,import,aus,71,5579850.0
Fiji,2013,import,aus,72,9505857.0
Fiji,2013,import,aus,73,751263.0
Fiji,2013,import,aus,74,15855460.0
Fiji,2013,import,aus,75,15480778.0
Fiji,2013,import,aus,76,7611600.0
Fiji,2013,import,aus,77,13822216.0
Fiji,2013,import,aus,78,15963302.0
Fiji,2013,import,aus,79,3011530.0
Fiji,2013,import,aus,81,3140891.0
Fiji,2013,import,aus,82,943871.0
Fiji,2013,import,aus,83,687061.0
Fiji,2013,import,aus,84,2580385.0
Fiji,2013,import,aus,85,1366663.0
Fiji,2013,import,aus,87,8674662.0
Fiji,2013,import,aus,88,4540129.0
Fiji,2013,import,aus,89,24184956.0
Fiji,2013,import,aus,93,2484819.0
Fiji,2013,import,aus,96,285.0
Fiji,2013,import,china,02,28.0
Fiji,2013,import,china,03,51808016.0
Fiji,2013,import,china,04,374068.0
Fiji,2013,import,china,05,4947467.0
Fiji,2013,import,china,06,32439.0
Fiji,2013,import,china,07,217299.0
Fiji,2013,import,china,08,55.0
Fiji,2013,import,china,09,1486113.0
Fiji,2013,import,china,11,2251401.0
Fiji,2013,import,china,12,356040.0
Fiji,2013,import,china,22,31135.0
Fiji,2013,import,china,23,9207.0
Fiji,2013,import,china,24,17515.0
Fiji,2013,import,china,25,16.0
Fiji,2013,import,china,26,105572.0
Fiji,2013,import,china,27,480089.0
Fiji,2013,import,china,28,1506.0
Fiji,2013,import,china,29,4293.0
Fiji,2013,import,china,32,2317.0
Fiji,2013,import,china,33,352445.0
Fiji,2013,import,china,42,8237.0
Fiji,2013,import,china,51,835679.0
Fiji,2013,import,china,52,860058.0
Fiji,2013,import,china,53,898684.0
Fiji,2013,import,china,54,329785.0
Fiji,2013,import,china,55,3991153.0
Fiji,2013,import,china,56,5999766.0
Fiji,2013,import,china,57,801342.0
Fiji,2013,import,china,58,2151077.0
Fiji,2013,import,china,59,4516220.0
Fiji,2013,import,china,61,324180.0
Fiji,2013,import,china,62,7475955.0
Fiji,2013,import,china,63,1129570.0
Fiji,2013,import,china,64,4706178.0
Fiji,2013,import,china,65,20790752.0
Fiji,2013,import,china,66,9715218.0
Fiji,2013,import,china,67,6356639.0
Fiji,2013,import,china,68,2087963.0
Fiji,2013,import,china,69,15805390.0
Fiji,2013,import,china,71,3965222.0
Fiji,2013,import,china,72,16221500.0
Fiji,2013,import,china,73,403644.0
Fiji,2013,import,china,74,9517328.0
Fiji,2013,import,china,75,3393536.0
Fiji,2013,import,china,76,15063246.0
Fiji,2013,import,china,77,12767884.0
Fiji,2013,import,china,78,23201533.0
Fiji,2013,import,china,79,1988076.0
Fiji,2013,import,china,81,3729389.0
Fiji,2013,import,china,82,2900603.0
Fiji,2013,import,china,83,2149040.0
Fiji,2013,import,china,84,12895416.0
Fiji,2013,import,china,85,3949623.0
Fiji,2013,import,china,87,1210210.0
Fiji,2013,import,china,88,650774.0
Fiji,2013,import,china,89,13983156.0
Fiji,2013,import,china,93,2447976.0
Fiji,2013,import,world,00,1705437.0
Fiji,2013,import,world,01,27259575.0
Fiji,2013,import,world,02,40150835.0
Fiji,2013,import,world,03,108908144.0
Fiji,2013,import,world,04,101987012.0
Fiji,2013,import,world,05,54058477.0
