country,year,partner,sti,cwti
Fiji,2013,aus,0.13578091597955702,0.1354348938861787
Fiji,2013,china,0.07894773980513,0.035416925100828944
Fiji,2014,aus,0.13269736184487704,0.11593454182806098
Fiji,2014,china,0.11330785659267432,0.074972141916902
Fiji,2015,aus,0.15592100853871,0.14785752474944433
Fiji,2015,china,0.11785424096687135,0.06003751998033404
Fiji,2016,aus,0.16730530485030334,0.15601334831224595
Fiji,2016,china,0.12345817501377333,0.055754263818676396
Fiji,2017,aus,0.15916570147491882,0.13827761779000897
Fiji,2017,china,0.12572883666250753,0.06581362394393266
Fiji,2018,aus,0.1509295572422516,0.13708857618302742
Fiji,2018,china,0.13522635266002372,0.0597126261210463
Fiji,2019,aus,0.1406057831450217,0.13320449557470573
Fiji,2019,china,0.10284210452602775,0.043603160990468744
Fiji,2020,aus,0.16890604028883888,0.1609980250044733
Fiji,2020,china,0.1276846610570337,0.06573524774759136
Fiji,2021,aus,0.16770240390449886,0.16686407868696523
Fiji,2021,china,0.12552123175325222,0.06970692207842955
Fiji,2022,aus,0.14228586244761324,0.11771202587488785
Fiji,2022,china,0.12328458895824584,0.05717936607473065
Fiji,2023,aus,0.13978339187220734,0.10995410322035973
Fiji,2023,china,0.11911960072685723,0.0519278152637429
Fiji,2024,aus,0.1392395070302362,0.12496765317488498
Fiji,2024,china,0.12462981829229092,0.056872310489609425
Kiribati,2014,aus,0.2196869649619961,0.13638236180057106
Kiribati,2014,china,0.06443591369535702,0.01199285366513168
Kiribati,2015,aus,0.1869560001715046,0.0922835484942861
Kiribati,2015,china,0.11295961106204562,0.06221177163169908
Kiribati,2016,aus,0.21482134430042188,0.13560143469416644
Kiribati,2016,china,0.06275583385736742,0.011609760214967735
Kiribati,2017,aus,0.17694516326165508,0.12201684780123057
Kiribati,2017,china,0.08197668282465603,0.021282190282170495
Kiribati,2018,aus,0.15779247226412985,0.06893607896346517
Kiribati,2018,china,0.0939538108103156,0.018736228106152508
Kiribati,2020,aus,0.1529877711585345,0.15479253860213416
Kiribati,2020,china,0.13160127940201263,0.037537366334457783
Kiribati,2021,aus,0.14296461524494913,0.046523256801417154
Kiribati,2021,china,0.14935645069974812,0.04607701021013477
Palau,2014,aus,0.008851713958607725,0.010220623675079251
Palau,2014,china,0.044374812867443894,0.01161941235729219
Palau,2015,aus,0.020916044851543723,0.002588926768601607
Palau,2015,china,0.05278940531880192,0.007263959619770834
Palau,2016,aus,0.010731808164775617,0.0007695360941610574
Palau,2016,china,0.04999667412579712,0.007217649513776403
Palau,2017,aus,0.08324143140145432,0.039495968722910224
Palau,2017,china,0.0,0.0
Palau,2018,aus,0.011503822549217502,0.0006654408285377748
Palau,2018,china,0.054414246336425776,0.008979986673851153
Papua New Guinea,2019,aus,0.3108548977282011,0.4249903848793493
Papua New Guinea,2019,china,0.19137455488085786,0.12243325434137287
Papua New Guinea,2020,aus,0.2584818099247249,0.3600782056600703
Papua New Guinea,2020,china,0.17916490948709593,0.1156323593163545
Papua New Guinea,2021,aus,0.2320879618923749,0.306086774028066
Papua New Guinea,2021,china,0.1793615232230122,0.11838687794794635
Samoa,2013,aus,0.12729957281287213,0.4601276274325314
Samoa,2013,china,0.0699804234183113,0.020281989263050172
Samoa,2014,aus,0.13702445804264585,0.4854086789156654
Samoa,2014,china,0.11165213098486272,0.03756504456199033
Samoa,2015,aus,0.14252983326918192,0.3601669996864784
Samoa,2015,china,0.1299204923132881,0.048654636843499
Samoa,2016,aus,0.13859637986970993,0.31668133040275065
Samoa,2016,china,0.12326472456668934,0.04043435050134133
Samoa,2017,aus,0.1171063462395805,0.1356015119299402
Samoa,2017,china,0.08180091662667964,0.020122018067443372
Samoa,2018,aus,0.09738085660246763,0.05913870958106154
Samoa,2018,china,0.1068680393974129,0.03463564960532428
Samoa,2019,aus,0.0896490286162557,0.04204487132534105
Samoa,2019,china,0.11106415659645803,0.031225357326537327
Samoa,2021,aus,0.10775647553680226,0.052181971772431744
Samoa,2021,china,0.12739624946933473,0.042668432475551334
Samoa,2022,aus,0.08613231747674785,0.02683518061341546
Samoa,2022,china,0.11906045216088965,0.04403732855921432
Samoa,2023,aus,0.08911065795839838,0.050589332366297486
Samoa,2023,china,0.11874979731519505,0.0408590366334545
Solomon Islands,2015,aus,0.16180450469292879,0.16336764307959298
Solomon Islands,2015,china,0.3247945098198418,0.426482770843995
Solomon Islands,2016,aus,0.10946192915584013,0.075798326956119
Solomon Islands,2016,china,0.3823243953287928,0.5725784953325784
Solomon Islands,2017,aus,0.11000895422059931,0.08084447640392128
Solomon Islands,2017,china,0.3696885095520119,0.5929922412615205
Solomon Islands,2018,aus,0.09716720475538432,0.07153038362278404
Solomon Islands,2018,china,0.39827012565116476,0.5990362120203485
Tonga,2013,aus,0.060665502644710635,0.05319446986188118
Tonga,2013,china,0.05015102703731464,0.007924744361579385
Tonga,2014,aus,0.056606137156779146,0.021099580482470938
Tonga,2014,china,0.06919931567026089,0.020622535970536846
