country_comtrade,year,flow,comtrade_value_musd,imf_value_musd,abs_diff_musd,symmetric_pct_diff,within_tolerance
Palau,2017,import,0.0,214.1764221,214.1764221,200.0,False
Palau,2017,export,12.83951972,4.714247227,-8.125272493,-92.57582737121434,False
Kiribati,2020,import,218.069602355,110.4504623,-107.619140055,-65.51754466992314,False
Kiribati,2015,import,221.460359002,113.1618195,-108.298539502,-64.72884731479489,False
Kiribati,2014,export,20.317055821,10.41909885,-9.897956971000001,-64.40595498654791,False
Kiribati,2016,export,22.5071002,11.54221916,-10.96488104,-64.40587504301878,False
Kiribati,2016,import,237.98962680000002,123.8485107,-114.14111610000002,-63.089599614136866,False
Kiribati,2014,import,232.960078731,122.0607605,-110.89931823100001,-62.47482174354367,False
Kiribati,2017,import,215.77094094799997,115.5427628,-100.22817814799997,-60.50349080896115,False
Kiribati,2020,export,18.544099210000002,10.27552032,-8.268578890000002,-57.381596459958544,False
