partner,n_observations,median_symmetric_pct_diff,mean_abs_symmetric_pct_diff,share_within_tolerance
world,86,-0.17871536575297553,16.951819223781488,0.5
aus,85,-0.007194898351707823,16.55135020197938,0.7176470588235294
china,73,-5.322268993719927e-06,18.69385123828871,0.6575342465753424
