country,flow,partner,n_observations,mean_abs_diff_musd,median_symmetric_pct_diff,mean_symmetric_pct_diff,max_abs_symmetric_pct_diff,share_within_tolerance
"Fiji, Republic of",export,aus,12,1.139610187,3.0675836658316903e-07,0.7311014167260743,4.7792077866332,1.0
"Fiji, Republic of",export,china,12,0.48905143033333304,6.945859085396085e-07,0.8765724354841162,10.767724762780063,0.9166666666666666
"Fiji, Republic of",export,world,12,114.74806823733336,7.6514542002408295,9.79941079397851,28.84132437513467,0.3333333333333333
"Fiji, Republic of",import,aus,12,0.9131013852500018,-0.035455839294634486,0.06717057611707838,0.8608122016068939,1.0
"Fiji, Republic of",import,china,12,2.053009775833331,-0.03893536648549302,-0.26083837434067153,1.471272560478608,1.0
"Fiji, Republic of",import,world,12,52.25665531791674,2.0632606241248026,1.65407521274349,6.194081336582543,0.9166666666666666
Kiribati,export,aus,7,0.560379570857143,-66.66669803047648,-78.52440321140719,176.2729248628149,0.0
Kiribati,export,china,3,0.33658900833333333,-66.66695751102036,-66.66712090838584,66.66766719999148,0.0
Kiribati,export,world,7,7.6309745371428575,-55.88135348134803,-43.30828677505589,64.40595498654791,0.0
Kiribati,import,aus,7,19.23657193342857,-66.66666909536268,-58.840870496994526,74.06807144429713,0.14285714285714285
Kiribati,import,china,7,9.979767012428571,-66.69633457119592,-63.922681355662,113.44866738474552,0.14285714285714285
Kiribati,import,world,7,90.36740387214286,-62.47482174354367,-53.14955497152424,65.51754466992314,0.14285714285714285
"Palau, Republic of",export,aus,4,0.1335972545,-5.95238098467872e-07,-16.66662436731673,66.66650265837583,0.75
"Palau, Republic of",export,china,4,2.502499999999016e-07,2.0885546754137373e-06,0.008169644179315592,0.03267439960791154,1.0
"Palau, Republic of",export,world,5,3.0252433992,9.916262976073332,-3.8805336781304987,92.57582737121434,0.0
"Palau, Republic of",import,aus,5,0.37782678599999997,1.2215154355473356e-06,39.999921075183934,200.0,0.8
"Palau, Republic of",import,china,5,2.3087292204000005,-3.747138608066393e-05,39.77908560145745,200.00000000000003,0.8
"Palau, Republic of",import,world,5,88.58564551399999,31.725048515729824,64.79894392135103,200.0,0.0
Papua New Guinea,export,aus,3,0.09992055100004411,-0.00326603007271162,-0.0038889437188870057,0.007194898351707823,1.0
Papua New Guinea,export,china,3,6.73179999163646e-05,-2.1225578545177404e-06,-1.2564227884666144e-06,5.17781306265272e-06,1.0
Papua New Guinea,export,world,3,63.89829817166659,0.6149500150968932,0.6345226371827751,0.7453129317927113,1.0
Papua New Guinea,import,aus,3,77.76911140933332,3.8457138896870706,4.445526116793142,6.5230257788227375,0.6666666666666666
Papua New Guinea,import,china,3,264.28641142799995,30.807902693972768,28.77486450883251,39.591846861645045,0.0
Papua New Guinea,import,world,3,343.7401874606667,7.205933903143741,7.334294477451472,11.562754990495211,0.3333333333333333
Samoa,export,aus,10,1.0574305149000007,-0.5345604287489009,0.5081981176312722,23.019319701944973,0.8
Samoa,export,china,2,0.0005259985000000016,2.3609915582172643,2.3609915582172643,4.1966962178710405,1.0
Samoa,export,world,10,1.5738001233000003,-2.2676064458202667,-2.967782302654216,10.973813604109122,0.8
Samoa,import,aus,10,2.5407515891,-0.9705129431925988,-4.283809186937304,24.745486200044027,0.6
Samoa,import,china,10,8.9366682337,-21.744750467617006,-19.61410264108959,44.00140470879831,0.3
Samoa,import,world,10,6.969788389199993,-1.0117925741310105,-1.788949017058232,10.445681166448614,0.9
Solomon Islands,export,aus,4,1.8230000000674096e-06,3.59350723971483e-06,1.8898489542472207e-05,8.615131429299553e-05,1.0
Solomon Islands,export,china,4,6.747750013857967e-06,-1.7165899925314126e-07,3.1805419963975716e-08,4.2441421613979815e-06,1.0
Solomon Islands,export,world,4,5.188557844750008,0.6345879168957625,0.8042236971063873,2.6537036535530407,1.0
Solomon Islands,import,aus,4,8.781419591499994,-7.505212336508354,-9.096281171486975,19.498505592419637,0.5
Solomon Islands,import,china,4,44.07912677475,48.17854340501062,49.37256241513091,61.158898545197374,0.0
Solomon Islands,import,world,4,46.735264045749986,-7.754155382263723,-7.898210282794042,18.244210692477267,0.25
Tonga,export,aus,2,0.0073109904999999475,0.4153605057535193,0.4153605057535193,0.4319084748873269,1.0
Tonga,export,china,2,0.0002735000000000003,0.8109919340934857,0.8109919340934857,4.642834303255107,1.0
Tonga,export,world,2,1.2351205950000006,-7.1275945026395835,-7.1275945026395835,7.410368119806446,0.0
Tonga,import,aus,2,0.024121564999999734,0.20763416732530787,0.20763416732530787,0.297364273817873,1.0
Tonga,import,china,2,0.03240135500000019,0.07144154582194222,0.07144154582194222,0.294886659383337,1.0
Tonga,import,world,2,9.115252049999995,-4.507447359161775,-4.507447359161775,5.079036757410646,0.5
