country_comtrade,year,flow,partner,comtrade_value_musd,imf_value_musd,country,abs_diff_musd,symmetric_pct_diff,log_ratio,within_tolerance
Fiji,2019,import,world,2789.829331165,2779.025391,"Fiji, Republic of",-10.803940164999858,-0.38801300102149605,-0.00388013487830465,True
Fiji,2020,export,aus,123.648633942,124.1385574,"Fiji, Republic of",0.4899234579999927,0.39543888878726763,0.003954394040846223,True
Fiji,2020,export,china,40.81544377,41.08379745,"Fiji, Republic of",0.26835367999999704,0.6553264132915175,0.0065532875857080754,True
Fiji,2020,export,world,826.626664049,828.4110107,"Fiji, Republic of",1.7843466509999644,0.2156261066710249,0.0021562619021652614,True
Fiji,2020,import,aus,309.61688616900005,309.2279968,"Fiji, Republic of",-0.3888893690000259,-0.1256823413112092,-0.0012568235785525433,True
Fiji,2020,import,china,286.71198502100003,282.5244751,"Fiji, Republic of",-4.187509921000014,-1.471272560478608,-0.014712991011718066,True
Fiji,2020,import,world,1738.500784147,1731.714966,"Fiji, Republic of",-6.7858181470001,-0.3910891215747983,-0.003910896200538976,True
Fiji,2021,export,aus,134.57779877599998,141.1670074,"Fiji, Republic of",6.589208624000008,4.7792077866332,0.047801177739146244,True
Fiji,2021,export,china,46.199419335,47.05342484,"Fiji, Republic of",0.8540055049999964,1.83159133119276,0.01831642537840653,True
Fiji,2021,export,world,816.053385234,892.3538818,"Fiji, Republic of",76.30049656599999,8.932354484591583,0.0893830064744192,False
Fiji,2021,import,aus,358.400894856,361.4993896,"Fiji, Republic of",3.098494743999993,0.8608122016068939,0.008608175171644356,True
Fiji,2021,import,china,322.78332278500005,323.6964722,"Fiji, Republic of",0.9131494149999639,0.2824989805044568,0.002824991683798658,True
Fiji,2021,import,world,2123.550831249,2164.900391,"Fiji, Republic of",41.349559751000015,1.9284146004260714,0.019284743650530848,True
Fiji,2022,export,aus,110.93306060600001,110.831192,"Fiji, Republic of",-0.10186860600001069,-0.09187107913284537,-0.0009187108559467532,True
Fiji,2022,export,china,30.577143307,30.06604385,"Fiji, Republic of",-0.5110994570000003,-1.685595632290261,-0.016856355437355815,True
Fiji,2022,export,world,1055.252810093,1049.353882,"Fiji, Republic of",-5.898928092999995,-0.5605729674016762,-0.005605744353719282,True
Fiji,2022,import,aus,465.141504862,465.8746033,"Fiji, Republic of",0.7330984380000132,0.1574835132438872,0.0015748354579188703,True
Fiji,2022,import,china,468.56672658499997,467.1958618,"Fiji, Republic of",-1.3708647849999807,-0.2929941423210578,-0.0029299435192339726,True
Fiji,2022,import,world,2993.459799567,2987.939941,"Fiji, Republic of",-5.519858567000028,-0.1845674526503651,-0.0018456750504469669,True
Fiji,2023,export,aus,103.90620240099999,103.5001678,"Fiji, Republic of",-0.40603460099998756,-0.3915353232463348,-0.003915358234335687,True
Fiji,2023,export,china,32.575772575,32.38042831,"Fiji, Republic of",-0.1953442650000028,-0.6014645633165798,-0.006014663765396867,True
Fiji,2023,export,world,1068.759858178,1064.202148,"Fiji, Republic of",-4.557710177999979,-0.4273597152503268,-0.00427360365680507,True
Fiji,2023,import,aus,477.404479852,478.9042358,"Fiji, Republic of",1.4997559479999722,0.3136551875881328,0.0031365544473237962,True
Fiji,2023,import,china,462.801363727,465.7573547,"Fiji, Republic of",2.9559909729999845,0.6366836936295212,0.006366858443926272,True
Fiji,2023,import,world,3089.893573157,3095.297607,"Fiji, Republic of",5.404033842999979,0.17474104471780635,0.0017474108918132023,True
Fiji,2024,export,aus,138.173139327,141.8895416,"Fiji, Republic of",3.716402273,2.6539789312155464,0.026541347274852127,True
Fiji,2024,export,china,33.094813076,33.09492493,"Fiji, Republic of",0.00011185399999646961,0.0003379798843933488,3.3797988440323154e-06,True
Fiji,2024,export,world,1133.115807401,1514.990234,"Fiji, Republic of",381.8744265990001,28.84132437513467,0.29043780284991716,False
Fiji,2024,import,aus,449.258554522,451.1523438,"Fiji, Republic of",1.8937892779999856,0.4206500124619192,0.004206506327345507,True
Fiji,2024,import,china,492.700680064,496.1891174,"Fiji, Republic of",3.488437336000004,0.7055260039988428,0.00705528930583379,True
Fiji,2024,import,world,3085.742089887,3282.984131,"Fiji, Republic of",197.24204111300014,6.194081336582543,0.06196062861333561,False
Kiribati,2014,export,aus,0.742540264,0.371270001,Kiribati,-0.37127026299999993,-66.66669803047648,-0.6931475334028265,False
Kiribati,2014,export,world,20.317055821,10.41909885,Kiribati,-9.897956971000001,-64.40595498654791,-0.6678201716539445,False
Kiribati,2014,import,aus,54.899144719999995,27.44957161,Kiribati,-27.449573109999996,-66.66666909536268,-0.6931472078827757,False
Kiribati,2014,import,china,16.320143583,8.157117844,Kiribati,-8.163025739,-66.69884834416692,-0.6935092462830577,False
