year,flow,partner,n_observations,median_symmetric_pct_diff,mean_abs_diff_musd,share_within_tolerance
2013,export,aus,3,0.4319084748873269,2.444017479,0.6666666666666666
2013,export,china,3,0.525286898563488,0.0003627023333335009,1.0
2013,export,world,3,-1.6520130443565453,28.718146216666707,0.3333333333333333
2013,import,aus,3,0.11790406083274274,0.08474848333333303,1.0
2013,import,china,3,4.472858860122961e-06,0.05009081666666345,1.0
2013,import,world,3,-0.35587267233422215,32.05583200000003,0.6666666666666666
2014,export,aus,5,-1.190476196935744e-06,0.10987096580000037,0.8
2014,export,china,4,4.728804757963493e-06,0.00012931275000087014,1.0
2014,export,world,5,-3.4329403871709916,26.14397710019997,0.2
2014,import,aus,5,-2.330102269829612e-06,6.1441619735999975,0.6
2014,import,china,5,-3.747138608066393e-05,3.394800890600004,0.6
2014,import,world,5,-2.0179324872840994,54.8597422262,0.6
2015,export,aus,5,-0.013628383673129744,0.5830747624000026,0.6
2015,export,china,4,-1.9887285221435065e-06,0.20432186950000536,0.75
2015,export,world,5,2.6537036535530407,46.714149281000005,0.2
2015,import,aus,5,-2.133517416489095,5.2468237334000065,0.8
2015,import,china,5,-0.044403225090924044,14.130724616200002,0.4
2015,import,world,5,-6.35742571060222,57.40988237719997,0.2
2016,export,aus,4,9.858925500097058e-06,0.11963161825000243,0.75
2016,export,china,3,4.2441421613979815e-06,5.137333348651889e-06,1.0
2016,export,world,5,0.7368242792998559,44.45019139960002,0.4
2016,import,aus,5,-0.07090934848699915,9.042374707399988,0.6
2016,import,china,5,-0.033467507880061996,12.834088174399994,0.4
2016,import,world,5,2.1596803258285466,48.06059045120005,0.6
2017,export,aus,5,-3.232611528881447,0.8114845361999962,0.6
2017,export,china,3,-0.24974790095918012,0.0512715336666509,0.6666666666666666
2017,export,world,5,-5.6037824179110425,51.78675108299999,0.2
2017,import,aus,5,-0.15276322665759712,7.469067543400007,0.4
2017,import,china,5,-0.6416111789638923,12.865960436400002,0.4
2017,import,world,5,-1.4079143802576837,95.44426287320003,0.4
2018,export,aus,5,-0.07193452552076274,0.1452101916000005,0.8
2018,export,china,3,-3.7736024830357956e-06,0.037572570666678,1.0
2018,export,world,5,-0.23458034716023551,1.709059664000002,0.6
2018,import,aus,5,-0.5248364081798143,4.429268077800005,0.8
2018,import,china,5,-1.104487042880611,15.023177678999994,0.4
2018,import,world,5,-0.4595797367733695,41.80361295080005,0.4
2019,export,aus,3,-0.007194898351707823,0.10871872599994663,1.0
2019,export,china,2,5.383861320111104,1.9014016509998761,0.5
2019,export,world,3,0.5433049646587211,39.30087784700004,0.6666666666666666
2019,import,aus,3,-0.20030489054905484,42.45170556633334,0.6666666666666666
2019,import,china,3,-0.38992295403318883,45.76794922933333,0.6666666666666666
2019,import,world,3,-0.38801300102149605,59.46844271333341,1.0
2020,export,aus,3,-0.00326603007271162,0.5441652006667032,0.6666666666666666
2020,export,china,3,3.5311025517706174e-06,0.14377244500004918,0.6666666666666666
2020,export,world,3,0.2156261066710249,24.667416620333157,0.6666666666666666
2020,import,aus,3,-0.1256823413112092,25.300252253333273,0.6666666666666666
2020,import,china,3,-1.471272560478608,96.41212929133331,0.3333333333333333
2020,import,world,3,-0.3910891215747983,141.0789206520001,0.3333333333333333
2021,export,aus,4,0.49784207830662464,1.6585618967500457,0.75
2021,export,china,2,0.9157930766898487,0.42704817899992165,1.0
2021,export,world,4,3.132308956773278,37.30724208500004,0.5
2021,import,aus,4,-1.8005571704716132,15.242565241250027,0.75
2021,import,china,4,-0.07538762810653102,102.40859858399999,0.5
2021,import,world,4,1.2798060463535856,150.39366470774985,0.75
2022,export,aus,2,-1.3841120993191298,0.08488404100000535,1.0
2022,export,china,1,-1.685595632290261,0.5110994570000003,1.0
2022,export,world,2,-2.709822428764851,3.9848229835000026,1.0
2022,import,aus,2,-12.29400134340007,4.7335125570000045,0.5
2022,import,china,2,-16.776832455121475,8.891079855499992,0.5
2022,import,world,2,-0.8463845956857633,6.103103235500015,1.0
2023,export,aus,2,-0.8948288437706182,0.2416067104999935,1.0
2023,export,china,1,-0.6014645633165798,0.1953442650000028,1.0
2023,export,world,2,-0.7600751136418133,2.5121101619999884,1.0
2023,import,aus,2,-2.8811089681534376,1.9457256289999876,0.5
2023,import,china,2,-11.607412104710548,7.903050275499993,0.5
2023,import,world,2,-0.606698879925726,5.9734890714999835,1.0
2024,export,aus,1,2.6539789312155464,3.716402273,1.0
2024,export,china,1,0.0003379798843933488,0.00011185399999646961,1.0
2024,export,world,1,28.84132437513467,381.8744265990001,0.0
2024,import,aus,1,0.4206500124619192,1.8937892779999856,1.0
2024,import,china,1,0.7055260039988428,3.488437336000004,1.0
2024,import,world,1,6.194081336582543,197.24204111300014,0.0
